,name,builtdate
610,永安新村,1983年建
612,潼港六村,1990年建
613,金田公寓,2000年建
614,东方晶华园,2009年建
615,惠南小城,2008年建
616,鼎城丽景苑,2009年建
617,上船大楼,1991年建
618,长清路595弄,1999年建
621,申华公寓,1994年建
622,华景苑,2003年建
623,丽都华庭,2014年建
625,博爱家园,2003年建
627,万馨佳园,2005年建
628,汇景阁,2004年建
629,紫竹轩,2001年建
630,罗山八村,1996年建
634,凌兆新村（凌兆路396弄）,1995年建
635,中星云庭,2003年建
636,梅花新村（惠南）,1994年建
637,阳光城愉景湾,
642,东陆新村四街坊,1995年建
643,名嘉新苑,2007年建
646,民乐城惠益绿苑,2015年建
648,金巷小区,1995年建
653,凌兆新村（上浦路36弄）,1995年建
655,沈家宅,
656,陆家嘴花园（二期）,2004年建
669,锦华花园,2000年建
671,上南大厦,1998年建
672,金杨七街坊,1995年建
675,锦南浦三小区,1995年建
676,江南山水,2000年建
677,联丰一期,1998年建
679,梅花新村（花木）,1994年建
680,中大新苑,2001年建
681,大华锦绣华城（十街区）,2005年建
684,上南三村,1983年建
685,芳丽苑,2002年建
687,长岛公寓,2004年建
689,界龙新世纪公寓,2000年建
691,保利金色唐城,2008年建
701,莱阳北小区,1993年建
704,罗山三村,1994年建
705,海上国际花园（一期）,2005年建
707,安泰公寓,1996年建
708,碧云新天地（三期）,2010年建
712,金芙苑,1997年建
714,名门世家（浦东）,2000年建
718,凌兆路88弄,2002年建
719,永旭家苑,2005年建
720,金桥新村四街坊（长岛路1201弄）,1997年建
721,浦东南路1380弄,1987年建
725,祝安苑,2012年建
726,香山新村东南街坊,1995年建
727,六荷苑小区,1998年建
729,住友名人花园,2002年建
730,荷风华庭,2009年建
737,光鸿苑,2004年建
738,乳山五村,1983年建
739,源城锦苑,2005年建
740,仁和花苑,1996年建
745,爱建大楼,1992年建
750,联丰二期,1998年建
752,东昌新村,1980年建
753,东建新村,1976年建
758,汇众公寓（浦东）,1996年建
760,上钢六村,
761,轻工六里小区,1996年建
762,同方锦城,2003年建
763,沪东花苑,1995年建
768,金杨公寓,1997年建
769,京城大厦,2002年建
772,梅园三村,1984年建
773,绿缘公寓,2000年建
776,凌兆新村（上浦路69弄）,1997年建
782,金桥一景,2002年建
783,丹桂佳苑,2008年建
784,兴东名苑,2002年建
786,瑞达新苑,2005年建
788,鑫港苑,2006年建
790,幸福小镇（公寓）,2006年建
791,齐八小区,1995年建
793,黄浦花园,1998年建
794,高东馨苑,2007年建
796,佳虹小区,1997年建
797,凌兆新村（凌兆路711弄）,1999年建
798,崂山五村,1984年建
799,水清木华,2003年建
800,沈默花苑,2011年建
802,东城家园,2007年建
804,海馨苑,2007年建
807,金隆家园,2007年建
808,谢家宅小区,1993年建
809,荷五小区,1995年建
