,name,location,hospital,bus,mall,subway,school,officeBuild,to_center_distance
2355,吴兴路12弄,"{'lat': 31.212395, 'lng': 121.448196}",40.0,49.0,2.0,6.0,128.0,72.0,4037.3064990069533
2356,襄阳南路452弄,"{'lat': 31.212286, 'lng': 121.464391}",64.0,45.0,5.0,3.0,109.0,97.0,3014.2034626791096
2357,永嘉大楼,"{'lat': 31.210848, 'lng': 121.45576}",60.0,52.0,3.0,3.0,92.0,68.0,3635.5266435902117
2358,五原路252弄,"{'lat': 31.218663, 'lng': 121.450439}",99.0,43.0,4.0,3.0,91.0,104.0,3455.9976591509735
2359,鑫国家园,"{'lat': 31.192652, 'lng': 121.446371}",35.0,49.0,8.0,6.0,48.0,113.0,5781.173080446378
2360,福华花苑,"{'lat': 31.206764, 'lng': 121.472645}",50.0,37.0,6.0,4.0,57.0,119.0,3274.351684199693
2361,福源汇居,"{'lat': 31.195175, 'lng': 121.447532}",53.0,45.0,9.0,4.0,101.0,109.0,5488.314710886166
2362,陕西南路488弄,"{'lat': 31.216745, 'lng': 121.467864}",82.0,36.0,12.0,3.0,113.0,129.0,2418.8125876516824
2363,宛平南苑,"{'lat': 31.198514, 'lng': 121.45274}",79.0,51.0,10.0,5.0,107.0,110.0,4901.599128881257
2364,爱和大厦,"{'lat': 31.194677, 'lng': 121.453211}",52.0,45.0,11.0,5.0,87.0,101.0,5240.092131044516
2365,千鹤小区,"{'lat': 31.18504, 'lng': 121.425993}",25.0,27.0,5.0,2.0,42.0,67.0,7664.134579805383
2366,名仕苑,"{'lat': 31.202642, 'lng': 121.44121}",37.0,48.0,9.0,4.0,131.0,104.0,5254.0336017922
2367,裕华大厦,"{'lat': 31.208984, 'lng': 121.464209}",62.0,46.0,4.0,3.0,114.0,91.0,3339.9112320083163
2368,国煌田林亲家,"{'lat': 31.17917, 'lng': 121.431913}",35.0,30.0,4.0,3.0,54.0,69.0,7802.161813212684
2369,通汇公寓,"{'lat': 31.19423, 'lng': 121.44628}",41.0,49.0,8.0,6.0,60.0,115.0,5643.193274313787
2370,天钥花苑,"{'lat': 31.193673, 'lng': 121.446127}",38.0,53.0,8.0,6.0,59.0,121.0,5701.921943291026
2371,凯旋花苑,"{'lat': 31.190506, 'lng': 121.439811}",24.0,43.0,3.0,6.0,52.0,117.0,6344.8424650015995
2372,天平路91弄,"{'lat': 31.207673, 'lng': 121.444768}",44.0,47.0,8.0,6.0,129.0,81.0,4625.929721417703
2373,汇宁花园,"{'lat': 31.206957, 'lng': 121.438294}",48.0,39.0,2.0,5.0,145.0,111.0,5150.932572311124
2374,金苑,"{'lat': 31.22084, 'lng': 121.450311}",87.0,50.0,4.0,3.0,79.0,117.0,3343.3264890551027
2375,兰桂坊,"{'lat': 31.212206, 'lng': 121.409656}",27.0,40.0,10.0,2.0,69.0,101.0,7266.131933489028
2376,建西小区,"{'lat': 31.211711, 'lng': 121.462739}",68.0,45.0,6.0,4.0,118.0,97.0,3153.059392389027
2377,嘉乐公寓,"{'lat': 31.208135, 'lng': 121.465813}",55.0,42.0,5.0,4.0,102.0,91.0,3353.8974216131355
2378,茶陵路223号,"{'lat': 31.204049, 'lng': 121.473323}",42.0,33.0,6.0,4.0,45.0,109.0,3553.655133802536
2379,康健路120弄,"{'lat': 31.171596, 'lng': 121.433002}",29.0,38.0,2.0,2.0,122.0,50.0,8434.37572893782
2380,盛华景苑,"{'lat': 31.114787, 'lng': 121.464105}",2.0,18.0,1.0,0.0,6.0,1.0,13498.172929547822
2381,长桥七村,"{'lat': 31.137619, 'lng': 121.44318}",14.0,31.0,1.0,0.0,38.0,1.0,11446.21198246725
2382,合丰大楼,"{'lat': 31.204701, 'lng': 121.468575}",48.0,37.0,5.0,4.0,80.0,108.0,3606.2209077404605
2383,茶陵北路7弄,"{'lat': 31.204904, 'lng': 121.471744}",42.0,35.0,7.0,4.0,48.0,121.0,3496.0661565649975
2384,祥和公寓（徐汇）,"{'lat': 31.206707, 'lng': 121.467204}",55.0,40.0,7.0,3.0,93.0,92.0,3444.579910419846
2385,乐山四五村,"{'lat': 31.202871, 'lng': 121.439631}",37.0,45.0,7.0,4.0,133.0,110.0,5346.337707151738
2386,河滨国际公寓,"{'lat': 31.170484, 'lng': 121.437747}",22.0,35.0,3.0,1.0,71.0,48.0,8305.262340660935
2387,柿子湾小区,"{'lat': 31.194244, 'lng': 121.433165}",35.0,31.0,3.0,5.0,57.0,108.0,6454.134296223816
2388,湖南路298弄,"{'lat': 31.215075, 'lng': 121.445005}",69.0,46.0,2.0,4.0,86.0,88.0,4106.49473316994
2389,远雄徐汇园,"{'lat': 31.204115, 'lng': 121.470491}",46.0,34.0,5.0,5.0,56.0,111.0,3612.5264543612575
2390,钦州路785弄,"{'lat': 31.184233, 'lng': 121.433778}",33.0,30.0,4.0,3.0,53.0,75.0,7247.939840001608
2391,华泾五村,"{'lat': 31.125466, 'lng': 121.451737}",7.0,27.0,1.0,0.0,18.0,3.0,12529.29003012429
2392,光华园,"{'lat': 31.146601, 'lng': 121.438914}",22.0,38.0,0.0,0.0,186.0,10.0,10649.44531861139
2393,云锦东方（公寓）,"{'lat': 31.165532, 'lng': 121.455741}",14.0,20.0,1.0,5.0,12.0,15.0,8125.343913167744
2394,东泉佳苑,"{'lat': 31.160668, 'lng': 121.451354}",10.0,17.0,0.0,1.0,13.0,13.0,8769.032910279599
2395,徐虹路112弄,"{'lat': 31.196376, 'lng': 121.437946}",33.0,37.0,7.0,5.0,116.0,133.0,5967.018405564854
2396,华尔登广场,"{'lat': 31.222094, 'lng': 121.454363}",114.0,53.0,9.0,3.0,90.0,124.0,2939.1322817544037
2397,徐虹华庭,"{'lat': 31.196011, 'lng': 121.433715}",37.0,33.0,4.0,5.0,110.0,113.0,6278.978351834342
2398,零陵路197号,"{'lat': 31.1995, 'lng': 121.467652}",45.0,32.0,5.0,3.0,85.0,68.0,4182.388979212535
2399,襄阳南路388弄,"{'lat': 31.213612, 'lng': 121.464357}",60.0,45.0,7.0,4.0,92.0,107.0,2891.8453942326
2400,番禺大楼,"{'lat': 31.212928, 'lng': 121.434609}",75.0,37.0,1.0,2.0,129.0,130.0,5075.886001777665
2401,云福大厦,"{'lat': 31.20873, 'lng': 121.468456}",56.0,37.0,7.0,3.0,83.0,111.0,3191.2250809084326
2402,兴国路41弄,"{'lat': 31.216755, 'lng': 121.442126}",68.0,39.0,2.0,3.0,88.0,112.0,4244.265920686643
2403,百安小区,"{'lat': 31.205847, 'lng': 121.453564}",52.0,49.0,7.0,5.0,107.0,73.0,4195.4917428227045
2404,永福第六小区,"{'lat': 31.212615, 'lng': 121.4442}",42.0,45.0,2.0,4.0,127.0,89.0,4324.4298897732115
2405,薛家宅小区,"{'lat': 31.170035, 'lng': 121.433192}",23.0,37.0,1.0,2.0,119.0,48.0,8571.063333266835
2406,龙漕大楼,"{'lat': 31.175138, 'lng': 121.44223}",39.0,31.0,3.0,3.0,31.0,57.0,7645.093014039861
2407,建国西路211弄,"{'lat': 31.211989, 'lng': 121.467935}",60.0,36.0,9.0,2.0,131.0,104.0,2880.2373424336947
